id,movie_id,person_id,name,character,cast_order,Project,movie_release_date,Sentiment_Score,Popularity_Score,Genre,Lead_Talent,job,department,author,author_username,author_rating,content,created_at,updated_at,url,movie_rating,content_length,show_id,type,director,country,date_added,release_year,duration,description,crew,budget,homepage,keywords,original_language,original_title,overview,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,vote_count,adult,backdrop_path,imdb_id,poster_path
976573,,,,,,Elemental,,0.7757,1008.942,Animation,Ensemble,,,,,,,,,,,,,,,,,,,,,200000000.0,https://movies.disney.com/elemental,"fire, computer animation, duringcreditsstinger, elements, water, city, hopeful",en,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.","Walt Disney Pictures, Pixar",United States of America,2023-06-14,486797988.0,102.0,English,Released,Opposites react.,2467.0,False,/4fLZUr1e65hKPPVw0R3PmKFKxj1.jpg,tt15789038,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg
1002338,,,,,,Operation Napoleon,,0.704,982.611,Thriller,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,based on novel or book,is,Napóleonsskjölin,"A modern-day lawyer is sucked into an international conspiracy after being accused of a murder she didn't commit. Her only chance of freedom lies in uncovering the secret of an old German WWII aeroplane, long buried deep beneath the ice, before the CIA.","Sagafilm, Splendid Film","Germany, Iceland",2023-01-26,0.0,112.0,"English, Icelandic",Released,A dark secret hides beneath the ice.,25.0,False,/oghHR3X0hIcvs7xqyoFjA0GAZWn.jpg,tt15485390,/j2Or0w69bpPXrmkE0hpTzw6hzsr.jpg
820609,,,,,,No One Will Save You,,0.6897,961.212,Horror,Ensemble,,,,,,,,,,,,,,,,,,,,,22800000.0,https://www.20thcenturystudios.com/movies/no-one-will-save-you,"isolation, trauma, grief, female protagonist, home invasion, guilt, death of mother, alien attack, reclusive, aliens",en,No One Will Save You,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,"20th Century Studios, Star Thrower Entertainment",United States of America,2023-09-22,0.0,93.0,English,Released,A home invasion no one saw coming.,345.0,False,/zYlgqIpqJ1VAbvFhRhktAzIybVs.jpg,tt14509110,/ehGIDAMaYy6Eg0o8ga0oqflDjqW.jpg
951491,,,,,,Saw X,,0.7321,949.967,Crime,Ensemble,,,,,,,,,,,,,,,,,,,,,13000000.0,https://www.saw.movie,"mexico city, mexico, sadism, riddle, gore, sequel, con artist, cancer, scam, serial killer, torture, drugs, survival horror, duringcreditsstinger, franchise, jigsaw, méxico, saw, death game, requel",en,Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.","Twisted Pictures, Lionsgate",United States of America,2023-09-26,29300000.0,118.0,"English, Spanish",Released,Witness the return of Jigsaw.,56.0,False,/9b3uxqcjkmay20EBZZj1KVow0r5.jpg,tt21807222,/aQPeznSu7XDTrrdCtT5eLiu52Yu.jpg
211672,,,,,,Minions,,0.64,875.581305,"[{""id"": 10751",Ensemble,,,,,,,,,,,,,,,,,,,,,74000000.0,http://www.minionsmovie.com/,"[{""id"": 3487, ""name"": ""assistant""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 189481, ""name"": ""evil mastermind""}, {""id"": 190999, ""name"": ""minions""}, {""id"": 209714, ""name"": ""3d""}]",en,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-17,1156730962.0,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Before Gru, they had a history of bad bosses",4571.0,,,,
1076364,,,,,,Carl's Date,,0.7831,819.429,Animation,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"date, love, dog, short film",en,Carl's Date,"Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",Pixar,United States of America,2023-06-15,0.0,9.0,English,Released,New adventure. Same wingman.,201.0,False,/iOJX54nVAsnPawagFiWXKv1Y6sB.jpg,tt26736061,/y8NtM6q3PzntqyNRNw6wgicwRYl.jpg
1172009,,,,,,The Black Book,,0.7666999999999999,810.288,Mystery,Ensemble,,,,,,,,,,,,,,,,,,,,,1000000.0,https://www.netflix.com/title/81698992,"revenge thriller, nollywood",en,The Black Book,"After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.",Anakle Films,Nigeria,2023-09-22,0.0,124.0,English,Released,,21.0,False,/9WxqnP9c29wXd03sALSpxpTx8fk.jpg,tt24083908,/kn28W24slBLyGr8ZIZnxNE5YZrY.jpg
932651,,,,,,Incest Mother Sister W Azumi Kinoshita Okita Anzunashi,,0.8,803.324,Drama,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"incest, big tits",ja,MIMK-020,"A miraculous collaboration between a rare female body painter ""Izayoi Seishin"" and two exclusive actresses with a rare exquisite BODY! ! Her mother is a ""flower arrangement artist"" who has black hair and a bewitching sex appeal. Her older sister is a good-looking model who works exclusively for fashion magazines. The common point of such mothers and sisters is ... a transcendental beauty busty body that everyone envy! ! Due to my father's remarriage, I decided to live with her mother and sister-in-law.",MOODYZ,Japan,2014-08-01,0.0,240.0,Japanese,Released,,2.0,True,/k1NDwgPPtmYWtQaeaobRW6kJcqS.jpg,,/fhDavdfgtQgldKZ2lWxJX3D9Juu.jpg
852436,,,,,,Let Her Kill You,,0.6917,780.608,Thriller,Ensemble,,,,,,,,,,,,,,,,,,,,,3200000.0,,,fr,Seule : Les dossiers Silvercloud,"Alone in the mountains of Switzerland, Anne discovers that her isolated chalet is on surveillance and has been bugged. Caught up by her former life as an intelligence secret agent and an affair with her handler, Anne can only count on herself to get out alive.","Sombrero Films, Vega Film","France, Switzerland",2023-03-08,0.0,94.0,French,Released,,54.0,False,/5xUJBgds96m6Xi2EtUpSzbw24D7.jpg,tt18160646,/qx81rP4b4UFcxjabCqfe79F24Z0.jpg
797180,,,,,,Class Reunion Cuckolding - My Beloved Wife And Her Asshole Ex-Boyfriend Reignite Their Old Flame - Yua Mikami,,0.7,759.744,Drama,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"cheating, big tits",ja,NTR同窓会 愛する妻と最悪な元彼の気が狂いそうな胸糞浮気映像。 三上悠亜,"SSNI-542: ""It's okay, I love you ..."" Saying that, my beloved wife headed to the alumni association, and a video of a cuckold man who was a crap human Yarichin ex-boyfriend! Kissing, caressing and SEX are good ... the worst man who knows everything ... A body that instinctively seeks even if it knows that it is useless. ""Isn't it more comfortable than my husband's cock?"" An unfaithful wife who feels intensely with her husband who is too kind and the target violent caress. Pleasure purgatory where the body and mind have fallen and cannot return anymore. Unequaled Yarichin Man x Big Tits Married Woman Netorare Affair 4 Production!",S1 NO. 1 STYLE,Japan,2019-08-19,0.0,151.0,Japanese,Released,,10.0,True,/pyaLWOPmDcKaj0U2cTni9uwlO8a.jpg,,/yQ8JI4kizVE3p6tcg0W9H9oUqed.jpg
654865,,,,,,"While My Boss Was Away On A Business Trip, I Fucked The Shit Out Of The Boss's Wife For 3 Whole Days. Tsukasa Aoi",,0.8800000000000001,751.806,Other,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"adultery, boss",ja,上司が出張で不在中、上司の妻とめちゃくちゃハメまくった3日間。,"A boss who has loved me since I joined the company. The wife of such a boss was very beautiful and admired. One day, when my boss invited me to eat at home, I exchanged contacts. The night my boss went on a business trip, my wife suddenly called me and when I went home, there was Tsukasa in a bath towel. ""My husband has been having an affair all the time ... I shouldn't do it?"" At that moment, I lost my reason and the weekend of having an affair with my warrior started.",S1 NO. 1 STYLE,Japan,2019-07-19,0.0,120.0,Japanese,Released,,5.0,True,/uX2yd5uyRue3PTwtfjoI5DCfvJW.jpg,,/jPr6Yrxapf4e8rUr9NyOEwA67U9.jpg
157336,,,,,,Interstellar,,0.8099999999999999,724.247784,"[{""id"": 12",Ensemble,,,,,,,,,,,,,,,,,,,,,165000000.0,http://www.interstellarmovie.net/,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 494, ""name"": ""father son relationship""}, {""id"": 641, ""name"": ""single parent""}, {""id"": 1432, ""name"": ""nasa""}, {""id"": 1963, ""name"": ""expedition""}, {""id"": 3417, ""name"": ""wormhole""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4337, ""name"": ""famine""}, {""id"": 4380, ""name"": ""black hole""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 4776, ""name"": ""race against time""}, {""id"": 8056, ""name"": ""quantum mechanics""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 9882, ""name"": ""space""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 13127, ""name"": ""farmhouse""}, {""id"": 14544, ""name"": ""robot""}, {""id"": 14626, ""name"": ""astronaut""}, {""id"": 14760, ""name"": ""scientist""}, {""id"": 15300, ""name"": ""father daughter relationship""}, {""id"": 33479, ""name"": ""single father""}, {""id"": 154846, ""name"": ""farmer""}, {""id"": 156039, ""name"": ""space station""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 160331, ""name"": ""astrophysics""}, {""id"": 162630, ""name"": ""zero gravity""}, {""id"": 189098, ""name"": ""courage""}, {""id"": 208757, ""name"": ""time paradox""}, {""id"": 214349, ""name"": ""relativity""}]",en,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Syncopy"", ""id"": 9996}, {""name"": ""Lynda Obst Productions"", ""id"": 13769}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2014-11-05,675120017.0,169.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Mankind was born on Earth. It was never meant to die here.,10867.0,,,,
717930,,,,,,Kandahar,,0.6866,708.536,Action,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,https://www.openroadfilms.com/movies/kandahar,"cia, undercover agent, behind enemy lines",en,Kandahar,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.","Thunder Road, G-BASE, MBC Studios, Capstone Pictures","United Arab Emirates, United States of America",2023-05-25,3000000.0,119.0,English,Released,The only thing more dangerous than the mission is the escape.,575.0,False,/c6Splshb8lb2Q9OvUfhpqXl7uP0.jpg,tt5761544,/lCanGgsqF4xD2WA5NF8PWeT3IXd.jpg
932609,,,,,,I Was Dressed By My Husband’s Boss Married Woman Body Accessories Ririko Kinoshita,,0.0,641.155,Drama,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"cheating, big tits",ja,夫の上司に飾られた 人妻ボディアクセサリー 木下凛々子,"Tomoya and Ririko work for a global jewelry sales company. The two got married and still work together. One day, Tomoya lost a rare accessory for display. While the company is in turmoil, Tomoya's boss, Oshita, invites his wife, Ririko, to say, ""If you help me with my work, I will keep quiet."" She agrees, even though Ririko harbors her misgivings. But... that job is to make Ririko wear her body accessories. And her purpose is to play with Ririko who is writhing in her shame...",Madonna,Japan,2021-06-07,0.0,150.0,Japanese,Released,,0.0,True,,,/zUjzwO9iGOhCC4bF8aHxr18v3SC.jpg
744278,,,,,,Mondocane,,0.643,640.979,Action,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"gang leader, survival, gang, criminal gang, poor",it,Mondocane,"In the near future, the southern Italian city of Taranto is surrounded by barbed wire that no one, not even the police, dares to cross. The poorest are left fighting for survival, while gangs compete for the territory. Two thirteen-year-old orphans who grew up together, dream of joining one of the gangs.","Groenlandia, RAI",Italy,2021-09-03,0.0,117.0,Italian,Released,,115.0,False,/uAAAzo9efEZJJPtj4iNwFvrRaki.jpg,tt13113298,/gOuJBz9u1YVWwvx12lJX56yUT6I.jpg
667538,,,,,,Transformers: Rise of the Beasts,,0.7492,616.74,Action,Ensemble,,,,,,,,,,,,,,,,,,,,,195000000.0,https://www.transformersmovie.com,"peru, alien, end of the world, based on toy, robot, duringcreditsstinger, 1990s, brother brother relationship, transformers",en,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.","Skydance, Paramount, di Bonaventura Pictures, Bay Films, New Republic Pictures, Tom DeSanto/Don Murphy Production, Hasbro",United States of America,2023-06-06,429800000.0,127.0,"Quechua, Spanish, English",Released,Unite or fall.,3270.0,False,/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,tt5090568,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg
790493,,,,,,Spy Kids: Armageddon,,0.6588,613.403,Family,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,https://www.netflix.com/title/81588091,"video game, technology, spy, games, secret agent, game, virus, game developer, heroes, kids, fantasy, save the world",en,Spy Kids: Armageddon,"When the children of the world’s greatest secret agents unwittingly help a powerful game developer unleash a computer virus that gives him control of all technology, they must become spies themselves to save their parents and the world.","Skydance, Spyglass Media Group, Double R Productions",United States of America,2023-09-22,0.0,98.0,English,Released,Meet the next generation.,51.0,False,/6fKEw0I2FTD5FLOQ5q7L1tqf876.jpg,tt13978520,/vd8YdaH7dzeIMGTNwQinlSiA1gV.jpg
335977,,,,,,Indiana Jones and the Dial of Destiny,,0.6679,579.252,Adventure,Ensemble,,,,,,,,,,,,,,,,,,,,,294700000.0,https://movies.disney.com/indiana-jones-and-the-dial-of-destiny,"treasure hunt, ancient rome, sequel, flashback, knife fight, archaeologist, adventurer, 1960s, nazi germany, action adventure, suspenseful",en,Indiana Jones and the Dial of Destiny,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",Lucasfilm Ltd.,United States of America,2023-06-28,382891104.0,155.0,English,Released,A legend will face his destiny.,1748.0,False,/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg,tt1462764,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg
941116,,,,,,Ever Since That Day When My Father-In-Law Raped Me… Yua Mikami,,0.0,548.771,Drama,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,"rape, bride, japanese woman, big tits",ja,義父に初めて犯されたあの日から… 三上悠亜,"SSNI-344: Since Mother-in-law passed away. Father-in-law (Sagawa Ginji) moved to live with the son (Hirata Tsukasa) and with Yua Mikami.  The son has not been very interested in Yua lately, as he is having an affair, the married couple has not had sex for well over a year, and Yua frustration is mounting up. At the same Sagawa Ginji is becoming an old man, with no female company and frustrated as well. Evolving into a mad-man genius with a gift from nature: a tongue that can tell anything by them taste.  The Father-in-law then start to move very aggressively on Yua, when he discovers her frustrations. Using his skilled tongue to drive Yua insane. It’s all the tongue.",S1 NO. 1 STYLE,Japan,2018-11-19,0.0,149.0,Japanese,Released,,0.0,True,/n2GRIXvMgoxKeVAsBrZ5GCBh7Y2.jpg,,/2EGYH5T6dfXFuMOmuzPF34Li37z.jpg
1126577,,,,,,Til Death Do Us Part,,0.62,548.12,Horror,Ensemble,,,,,,,,,,,,,,,,,,,,,0.0,,,en,Til Death Do Us Part,"After bailing on her wedding, a former bride-to-be must fight off her ex-groom and seven angry killer groomsmen in order to survive the night.","Born to Burn Films, BondIt Media Capital, Buffalo 8, Status Media & Entertainment",United States of America,2023-08-03,0.0,109.0,English,Released,,29.0,False,/ffQAbMDcME2IFmdnzCrbDjEupM.jpg,tt27047448,/2JSsduIaJzlScVunHCc6KYBIOjY.jpg
293660,,,,,,Deadpool,,0.74,514.569956,"[{""id"": 28",Ensemble,,,,,,,,,,,,,,,,,,,,,58000000.0,http://www.foxmovies.com/movies/deadpool,"[{""id"": 2095, ""name"": ""anti hero""}, {""id"": 3070, ""name"": ""mercenary""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 11687, ""name"": ""breaking the fourth wall""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 223060, ""name"": ""self healing""}]",en,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""The Donners' Company"", ""id"": 11307}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Kinberg Genre"", ""id"": 78091}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-02-09,783112979.0,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Witness the beginning of a happy ending,10995.0,,,,
569094,,,,,,Spider-Man: Across the Spider-Verse,,0.8442000000000001,512.336,Animation,Ensemble,,,,,,,,,,,,,,,,,,,,,100000000.0,https://www.acrossthespiderverse.movie,"new york city, sacrifice, superhero, comic book, based on comic, sequel, romance, alternate dimension, india, alternate version, super power, brooklyn, new york city, superhero team, spider bite, super villain, cliffhanger, teen superhero, chelsea, alternate universe, teen romance, female superhero, slow burn romance, interdimensional travel, defying fate",en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions",United States of America,2023-05-31,683241751.0,140.0,"English, Hindi, Italian, Spanish",Released,It's how you wear the mask that matters.,4394.0,False,/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,tt9362722,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg
